"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"9";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2095";"39939";"5.25";"****";""
"392";"493";" 79.51";"5539.292";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";" 0.000000e+00"
"374";"573";" 65.27";"4214.133";"emji_coeur_rouge";" 0.000000e+00"
"310";"450";" 68.89";"3708.971";"emji_mains_levées";" 0.000000e+00"
"239";"391";" 61.13";"2480.691";"emji_feu";" 0.000000e+00"
"303";"720";" 42.08";"2001.864";"emji_applaudissements";" 0.000000e+00"
"146";"249";" 58.63";"1436.921";"emji_mains_en_prière";"1.992732e-314"
"108";"149";" 72.48";"1360.344";"emji_drapeau_territoires_palestiniens";"8.705735e-298"
" 82";"106";" 77.36";"1111.989";"emji_colombe";"8.188894e-244"
" 91";"168";" 54.17";" 812.357";"magnifique";"1.110368e-178"
"183";"622";" 29.42";" 742.984";"emji_visage_qui_pleure";"1.345712e-163"
" 71";"119";" 59.66";" 711.127";"free";"1.137837e-156"
" 63";"101";" 62.38";" 664.927";"emji_étincelles";"1.267134e-146"
" 65";"108";" 60.19";" 657.636";"emji_coeur_brisé";"4.881009e-145"
" 45";" 56";" 80.36";" 636.539";"emji_mains_en_prière_peau_moyennement_claire";"1.890560e-140"
" 34";" 35";" 97.14";" 595.207";"emji_drapeau_sénégal";"1.846216e-131"
" 56";" 93";" 60.22";" 566.700";"emji_visage_souriant_avec_coeurs";"2.932087e-125"
" 31";" 31";"100.00";" 560.418";"emji_drapeau_algérie";"6.819190e-124"
" 39";" 48";" 81.25";" 558.541";"emji_coeur_blanc";"1.745406e-123"
" 50";" 81";" 61.73";" 520.971";"emji_biceps_contracté";"2.601304e-115"
" 46";" 70";" 65.71";" 515.865";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"3.359437e-114"
" 44";" 65";" 67.69";" 510.804";"rip";"4.238601e-113"
" 31";" 38";" 81.58";" 445.903";"emji_coeur_avec_bandages";" 5.621036e-99"
" 28";" 32";" 87.50";" 435.944";"emji_trèfle_à_quatre_feuilles";" 8.264002e-97"
" 29";" 36";" 80.56";" 411.162";"rétablissement";" 2.046926e-91"
" 83";"245";" 33.88";" 406.590";"emji_drapeau_suisse";" 2.024935e-90"
" 29";" 44";" 65.91";" 326.138";"emji_mains_qui_forment_un_coeur";" 6.668470e-73"
" 30";" 49";" 61.22";" 309.309";"félicitation";" 3.088432e-69"
" 22";" 29";" 75.86";" 291.166";"emji_drapeau_brésil";" 2.770724e-65"
" 19";" 24";" 79.17";" 264.012";"emji_biceps_contracté_peau_moyennement_claire";" 2.291278e-59"
" 17";" 21";" 80.95";" 242.288";"emji_sapin_de_noël";" 1.246952e-54"
" 18";" 24";" 75.00";" 235.088";"emji_étourdissement";" 4.632674e-53"
" 15";" 18";" 83.33";" 220.927";"emji_feuille";" 5.678493e-50"
" 22";" 38";" 57.89";" 212.126";"joyeux";" 4.720429e-48"
" 23";" 42";" 54.76";" 207.404";"emji_applaudissements_peau_claire";" 5.060450e-47"
" 14";" 17";" 82.35";" 203.442";"emji_coeur_violet";" 3.705385e-46"
" 13";" 15";" 86.67";" 200.144";"emji_coeur_bleu";" 1.942807e-45"
" 14";" 18";" 77.78";" 190.609";"emji_étoile_brillante";" 2.340567e-43"
" 14";" 18";" 77.78";" 190.609";"emji_pouce_vers_le_haut_peau_moyennement_claire";" 2.340567e-43"
" 15";" 21";" 71.43";" 185.163";"lara";" 3.615370e-42"
" 11";" 12";" 91.67";" 180.370";"emji_bougie";" 4.022931e-41"
" 11";" 12";" 91.67";" 180.370";"aliou";" 4.022931e-41"
" 15";" 23";" 65.22";" 166.528";"emji_mains_en_prière_peau_légèrement_mate";" 4.241975e-38"
" 11";" 13";" 84.62";" 164.820";"emji_biceps_contracté_peau_claire";" 1.001521e-37"
" 11";" 13";" 84.62";" 164.820";"emji_coeur_étincelant";" 1.001521e-37"
"  9";"  9";"100.00";" 162.612";"emji_drapeau_cap_vert";" 3.040326e-37"
"  9";"  9";"100.00";" 162.612";"emji_coeur_jaune";" 3.040326e-37"
"  9";"  9";"100.00";" 162.612";"goat";" 3.040326e-37"
" 11";" 14";" 78.57";" 151.499";"emji_biceps_contracté_peau_légèrement_mate";" 8.154573e-35"
" 11";" 14";" 78.57";" 151.499";"emji_fleur_fanée";" 8.154573e-35"
" 11";" 14";" 78.57";" 151.499";"emji_coeur_noir";" 8.154573e-35"
" 10";" 12";" 83.33";" 147.262";"emji_coeur_cartes";" 6.876600e-34"
" 26";" 69";" 37.68";" 146.305";"emji_mains_en_prière_peau_claire";" 1.113496e-33"
" 12";" 17";" 70.59";" 146.097";"emji_deux_coeurs";" 1.236237e-33"
"  9";" 10";" 90.00";" 144.560";"emji_étoile";" 2.680377e-33"
"  9";" 10";" 90.00";" 144.560";"emji_mains_qui_forment_un_coeur_peau_légèrement_mate";" 2.680377e-33"
"  9";" 10";" 90.00";" 144.560";"sénégal";" 2.680377e-33"
"  8";"  8";"100.00";" 144.541";"emji_mémo";" 2.706375e-33"
"  8";"  9";" 88.89";" 126.712";"emji_porte_documents";" 2.148121e-29"
"  8";"  9";" 88.89";" 126.712";"emji_coeur_grandissant";" 2.148121e-29"
"  8";"  9";" 88.89";" 126.712";"cissé";" 2.148121e-29"
"  7";"  7";"100.00";" 126.470";"emji_cornes_avec_les_doigts_peau_claire";" 2.426545e-29"
"  7";"  7";"100.00";" 126.470";"emji_rose";" 2.426545e-29"
"  7";"  7";"100.00";" 126.470";"forza";" 2.426545e-29"
"  7";"  7";"100.00";" 126.470";"emji_mains_levées_peau_mate";" 2.426545e-29"
" 11";" 17";" 64.71";" 120.977";"emji_coeur_vert";" 3.866030e-28"
" 43";"187";" 22.99";" 119.083";"courage";" 1.004569e-27"
" 14";" 27";" 51.85";" 118.076";"emji_mains_levées_peau_claire";" 1.668844e-27"
"  9";" 12";" 75.00";" 117.509";"é";" 2.221384e-27"
" 24";" 71";" 33.80";" 116.702";"noël";" 3.335682e-27"
"  8";" 10";" 80.00";" 112.460";"emji_cotillons";" 2.833727e-26"
" 18";" 45";" 40.00";" 109.481";"emji_visage_festif";" 1.273389e-25"
"  7";"  8";" 87.50";" 108.921";"emji_skieur";" 1.689269e-25"
"  6";"  6";"100.00";" 108.400";"emji_bras_mécanique";" 2.196516e-25"
"  6";"  6";"100.00";" 108.400";"emji_fusée";" 2.196516e-25"
"  6";"  6";"100.00";" 108.400";"emji_carte_du_monde";" 2.196516e-25"
"  6";"  6";"100.00";" 108.400";"emji_casque_de_secouriste";" 2.196516e-25"
"  9";" 13";" 69.23";" 107.117";"emji_balance_à_poids";" 4.196666e-25"
" 11";" 19";" 57.89";" 106.013";"emji_visage_triste_mais_soulagé";" 7.326558e-25"
" 75";"490";" 15.31";" 101.023";"palestine";" 9.092074e-24"
" 13";" 28";" 46.43";"  95.612";"emji_v_de_la_victoire";" 1.397412e-22"
"  7";"  9";" 77.78";"  95.283";"tcheu";" 1.650075e-22"
" 10";" 18";" 55.56";"  91.705";"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";" 1.006299e-21"
"  6";"  7";" 85.71";"  91.210";"emji_biceps_contracté_peau_mate";" 1.292067e-21"
"  6";"  7";" 85.71";"  91.210";"emji_ok_peau_légèrement_mate";" 1.292067e-21"
"  9";" 15";" 60.00";"  90.512";"emji_mains_levées_peau_moyennement_claire";" 1.838353e-21"
"  5";"  5";"100.00";"  90.331";"emji_arbre_à_feuilles_caduques";" 2.014591e-21"
"  5";"  5";"100.00";"  90.331";"emji_volume_des_enceintes_élevé";" 2.014591e-21"
"  5";"  5";"100.00";"  90.331";"zweifel";" 2.014591e-21"
"  5";"  5";"100.00";"  90.331";"emji_ballon_de_football";" 2.014591e-21"
" 12";" 26";" 46.15";"  87.598";"emji_applaudissements_peau_moyennement_claire";" 8.021273e-21"
"  7";" 10";" 70.00";"  84.384";"salutation";" 4.073567e-20"
"  9";" 17";" 52.94";"  77.840";"emji_visage_implorant";" 1.117107e-18"
"  7";" 11";" 63.64";"  75.477";"emji_ruban_de_mémoire";" 3.696621e-18"
"  5";"  6";" 83.33";"  73.620";"viva";" 9.469416e-18"
"  5";"  6";" 83.33";"  73.620";"ouchy";" 9.469416e-18"
"  5";"  6";" 83.33";"  73.620";"dan";" 9.469416e-18"
" 12";" 30";" 40.00";"  72.960";"merveilleux";" 1.323247e-17"
"  4";"  4";"100.00";"  72.263";"emji_médaille_d";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"pelice";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"ndoye";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"let";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"emji_père_noël_peau_claire";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"emji_coeur_avec_ruban";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"day";" 1.883378e-17"
"  4";"  4";"100.00";"  72.263";"bravoooo";" 1.883378e-17"
" 16";" 50";" 32.00";"  72.098";"génial";" 2.048085e-17"
"  6";"  9";" 66.67";"  68.327";"emji_croix_latine";" 1.385393e-16"
"  6";"  9";" 66.67";"  68.327";"best";" 1.385393e-16"
"  7";" 12";" 58.33";"  68.064";"emji_coeur_bleu_clair";" 1.583042e-16"
"  7";" 12";" 58.33";"  68.064";"emji_pouce_vers_le_haut_peau_légèrement_mate";" 1.583042e-16"
"  7";" 12";" 58.33";"  68.064";"cenovis";" 1.583042e-16"
" 17";" 58";" 29.31";"  67.677";"condoléance";" 1.926351e-16"
"  7";" 13";" 53.85";"  61.799";"go";" 3.803445e-15"
"  5";"  7";" 71.43";"  61.699";"aromat";" 4.000912e-15"
"  6";" 10";" 60.00";"  60.334";"yes";" 8.005494e-15"
" 10";" 26";" 38.46";"  57.752";"emji_doigts_croisés";" 2.973751e-14"
" 21";" 93";" 22.58";"  56.359";"adorer";" 6.037455e-14"
"  4";"  5";" 80.00";"  56.223";"emji_applaudissements_peau_mate";" 6.470721e-14"
"  4";"  5";" 80.00";"  56.223";"emji_goutte_de_sang";" 6.470721e-14"
"  3";"  3";"100.00";"  54.196";"emji_étreinte";" 1.814599e-13"
"  3";"  3";"100.00";"  54.196";"rek";" 1.814599e-13"
"  3";"  3";"100.00";"  54.196";"khagn";" 1.814599e-13"
"  3";"  3";"100.00";"  54.196";"emji_olive";" 1.814599e-13"
"  3";"  3";"100.00";"  54.196";"emji_fleur_de_cerisier";" 1.814599e-13"
"  3";"  3";"100.00";"  54.196";"emji_bouquet";" 1.814599e-13"
"  5";"  8";" 62.50";"  52.773";"emji_coeurs_qui_tournent";" 3.744645e-13"
"  5";"  8";" 62.50";"  52.773";"emji_poing_levé_peau_moyennement_claire";" 3.744645e-13"
"  5";"  8";" 62.50";"  52.773";"ouiii";" 3.744645e-13"
"  5";"  8";" 62.50";"  52.773";"emji_drapeau_soudan";" 3.744645e-13"
" 12";" 40";" 30.00";"  49.365";"témoignage";" 2.125320e-12"
" 18";" 79";" 22.78";"  48.992";"emji_visage_avec_bouche_ouverte";" 2.570061e-12"
"  6";" 12";" 50.00";"  48.372";"pagani";" 3.524774e-12"
"  5";"  9";" 55.56";"  45.842";"ohhh";" 1.281873e-11"
"  4";"  6";" 66.67";"  45.548";"emji_pierre_précieuse";" 1.489706e-11"
"  4";"  6";" 66.67";"  45.548";"emji_drapeau_blanc";" 1.489706e-11"
" 16";" 69";" 23.19";"  44.771";"fier";" 2.214538e-11"
"  3";"  4";" 75.00";"  39.162";"emji_trophée";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"ref";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"ki";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"gogh";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"emji_visage_ébahi";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"emji_globe_tourné_sur_les_amériques";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"emji_caméra";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"emji_bourgeon";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"emji_alien";" 3.901232e-10"
"  3";"  4";" 75.00";"  39.162";"bravooooo";" 3.901232e-10"
"  4";"  7";" 57.14";"  37.938";"emji_empreintes_d_animaux";" 7.301730e-10"
"  4";"  7";" 57.14";"  37.938";"mo";" 7.301730e-10"
"  4";"  7";" 57.14";"  37.938";"magie";" 7.301730e-10"
"  4";"  8";" 50.00";"  32.245";"vincent";" 1.358994e-08"
"  4";"  8";" 50.00";"  32.245";"emji_arc_en_ciel";" 1.358994e-08"
"  5";" 12";" 41.67";"  32.036";"emji_part_de_fromage";" 1.513734e-08"
"  7";" 22";" 31.82";"  31.271";"emji_visage_déçu";" 2.243710e-08"
"  6";" 17";" 35.29";"  30.896";"emji_cornes_avec_les_doigts";" 2.722933e-08"
"  3";"  5";" 60.00";"  30.163";"emji_mains_en_prière_peau_foncée";" 3.971758e-08"
"  3";"  5";" 60.00";"  30.163";"sublime";" 3.971758e-08"
"  3";"  5";" 60.00";"  30.163";"namaste";" 3.971758e-08"
"  3";"  5";" 60.00";"  30.163";"gréviste";" 3.971758e-08"
"  3";"  5";" 60.00";"  30.163";"emji_coeur_orange";" 3.971758e-08"
"  9";" 35";" 25.71";"  29.529";"emji_visage_retenant_ses_larmes";" 5.509100e-08"
"  5";" 13";" 38.46";"  28.866";"prompt";" 7.754356e-08"
"  4";"  9";" 44.44";"  27.829";"emji_bouteille_de_champagne";" 1.325034e-07"
"  9";" 37";" 24.32";"  27.122";"emji_drapeau_états";" 1.910174e-07"
"  5";" 14";" 35.71";"  26.158";"emji_mains_en_prière_peau_mate";" 3.145971e-07"
"  4";" 10";" 40.00";"  24.308";"original";" 8.210945e-07"
"  3";"  6";" 50.00";"  24.183";"emji_langue";" 8.761970e-07"
"  3";"  6";" 50.00";"  24.183";"stan";" 8.761970e-07"
"  3";"  6";" 50.00";"  24.183";"please";" 8.761970e-07"
"  2";"  3";" 66.67";"  22.772";"emji_jeune_pousse";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_drapeau_ukraine";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_patin_à_roulettes";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_biceps_contracté_peau_foncée";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_pieuvre";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"élysée";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"temoin";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"ouiiiiii";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"ohhhhh";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"mélanie";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"maggi";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"hopp";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"great";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_père_noël_peau_moyennement_claire";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_père_noël";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"emji_flèche_en_haut";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"diane";" 1.823933e-06"
"  2";"  3";" 66.67";"  22.772";"conjointement";" 1.823933e-06"
"  3";"  7";" 42.86";"  19.927";"fabuleux";" 8.047499e-06"
"  4";" 12";" 33.33";"  19.053";"emji_main_qui_écrit";" 1.271430e-05"
"  4";" 12";" 33.33";"  19.053";"emji_cent_points";" 1.271430e-05"
" 11";" 67";" 16.42";"  16.854";"emji_drapeau_israël";" 4.036147e-05"
"  3";"  8";" 37.50";"  16.748";"emji_v_de_la_victoire_peau_claire";" 4.268030e-05"
"  2";"  4";" 50.00";"  16.121";"emji_coeur_enflammé";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"emji_décamper";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"emji_v_de_la_victoire_peau_légèrement_mate";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"welcome";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"noah";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"marco";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"léon";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"leclerc";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"istanbul";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"hope";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"emji_graphique_en_hausse";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"emji_cadeau";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"bi";" 5.942351e-05"
"  2";"  4";" 50.00";"  16.121";"acceuilli";" 5.942351e-05"
"  3";"  9";" 33.33";"  14.289";"emji_trinquer";" 1.568103e-04"
"  4";" 15";" 26.67";"  13.853";"formidable";" 1.976469e-04"
"  3";" 10";" 30.00";"  12.332";"emji_visage_fatigué";" 4.452802e-04"
"  3";" 10";" 30.00";"  12.332";"bro";" 4.452802e-04"
"  2";"  5";" 40.00";"  12.152";"emji_drapeau_union_européenne";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_conifère";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"vaincre";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_ours";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_gyrophare";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"déchirer";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"voeu";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"staline";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"pape";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"nostalgique";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"mmm";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"guérison";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_poing_de_face";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_drapeau_portugal";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_coeur_rose";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_chien";" 4.902640e-04"
"  2";"  5";" 40.00";"  12.152";"emji_bébé";" 4.902640e-04"
"  6";" 32";" 18.75";"  11.751";"emji_mains_qui_forment_un_coeur_peau_claire";" 6.081619e-04"
"  3";" 11";" 27.27";"  10.741";"nati";" 1.047869e-03"
"  6";" 34";" 17.65";"  10.530";"talent";" 1.174733e-03"
"  4";" 19";" 21.05";"   9.556";"you";" 1.992883e-03"
"  4";" 19";" 21.05";"   9.556";"chips";" 1.992883e-03"
"  4";" 19";" 21.05";"   9.556";"affiche";" 1.992883e-03"
"  2";"  6";" 33.33";"   9.525";"camille";" 2.026884e-03"
"  2";"  6";" 33.33";"   9.525";"land";" 2.026884e-03"
"  2";"  6";" 33.33";"   9.525";"emji_visage_mécontent_avec_bouche_ouverte";" 2.026884e-03"
" 12";" 99";" 12.12";"   9.440";"excellent";" 2.123291e-03"
"  3";" 12";" 25.00";"   9.424";"sudan";" 2.141084e-03"
"  3";" 13";" 23.08";"   8.319";"merveille";" 3.923294e-03"
"  4";" 21";" 19.05";"   8.053";"emji_index_pointant_vers_l_utilisateur";" 4.543074e-03"
"  2";"  7";" 28.57";"   7.664";"star";" 5.632803e-03"
"  2";"  7";" 28.57";"   7.664";"ressort";" 5.632803e-03"
"  3";" 14";" 21.43";"   7.379";"emji_explosion";" 6.597861e-03"
"  3";" 14";" 21.43";"   7.379";"boss";" 6.597861e-03"
"  4";" 23";" 17.39";"   6.830";"emji_poing_levé";" 8.962094e-03"
"  2";"  8";" 25.00";"   6.282";"étoile";" 1.219460e-02"
"  2";"  8";" 25.00";"   6.282";"emji_soleil";" 1.219460e-02"
"  2";"  8";" 25.00";"   6.282";"tqt";" 1.219460e-02"
"  2";"  8";" 25.00";"   6.282";"remarquable";" 1.219460e-02"
"  4";" 27";" 14.81";"   4.978";"sincère";" 2.567545e-02"
"  4";" 27";" 14.81";"   4.978";"héros";" 2.567545e-02"
"  1";"  3";" 33.33";"   4.762";"emji_requin";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_chat_qui_sourit_avec_des_yeux_rieurs";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"assurément";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"well";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_drapeau_russie";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"proprio";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"obus";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"happy";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_paume_contre_paume_doigts_vers_le_haut";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_couteau_de_cuisine";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_chat";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"east";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"canarder";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"yanou";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"vidy";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"vibrer";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"uae";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"tornike";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"this";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"sologashvili";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"ruralité";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"repeuplement";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"ranma";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"province";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"prouesse";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"pourcent";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"pole";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"podium";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"playstation";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"pharaon";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"paléo";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"made";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"ko";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"jimmy";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"isl";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"incontournable";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"ich";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"hérisson";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"hydrocarbure";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"hihi";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"gogo";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"giger";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"ever";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_voiture_de_police_de_face";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_voiture";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_bulle_de_pensée";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"emji_bonhomme_de_neige";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"docteur";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"dlc";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"csc";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"contest";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"compréhensif";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"comms";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"cingler";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"camer";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"brélaz";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"bom";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"biarritz";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"beach";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"banane";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"avancement";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"aliens";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"alex";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"airlines";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"6h30";" 2.909207e-02"
"  1";"  3";" 33.33";"   4.762";"100k";" 2.909207e-02"
"  3";" 18";" 16.67";"   4.726";"parer";" 2.970824e-02"
"  3";" 20";" 15.00";"   3.831";"bb";" 5.032382e-02"
"  3";" 20";" 15.00";"   3.831";"précision";" 5.032382e-02"
"  5";" 42";" 11.90";"   3.751";"wow";" 5.276918e-02"
"  5";" 42";" 11.90";"   3.751";"respectueux";" 5.276918e-02"
"  2";" 11";" 18.18";"   3.705";"descente";" 5.426109e-02"
"  8";" 80";" 10.00";"   3.646";"emji_visage_souriant_avec_une_larme";" 5.621333e-02"
"  3";" 21";" 14.29";"   3.455";"superbe";" 6.306969e-02"
"  4";" 32";" 12.50";"   3.391";"emji_visage_avec_lunettes_de_soleil";" 6.555360e-02"
" 16";"196";"  8.16";"   3.374";"emji_visage_qui_pleure_à_chaudes_larmes";" 6.624471e-02"
"  2";" 12";" 16.67";"   3.150";"emji_poignée_de_main";" 7.591498e-02"
"  2";" 12";" 16.67";"   3.150";"emji_soleil_avec_visage";" 7.591498e-02"
"  1";"  4";" 25.00";"   3.141";"emji_pouce_vers_le_bas";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"zohran";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"ueli";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"emji_coeur_battant";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"can";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"thank";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"machin";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"emji_moai";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"bravooo";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"époux";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"we";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"w";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"vaseline";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"vai";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"tp";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"tibet";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"sénégalais";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"supplier";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"shame";" 7.635343e-02"
"  1";"  4";" 25.00";"   3.141";"répit";" 7.635343e-02"
